Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.417408	1.183118	48.384000	58.530000	
0.100000	1.014205	1.145091	64.070000	61.400000	
0.100000	0.889260	0.957506	68.988000	67.140000	
0.100000	0.824948	0.914357	71.304000	67.500000	
0.100000	0.775594	1.111172	73.070000	65.000000	
0.100000	0.752739	1.079689	73.900000	64.100000	
0.100000	0.730919	0.896529	74.772000	70.430000	
0.100000	0.714957	0.877235	75.406000	69.810000	
0.100000	0.696628	0.804123	75.826000	72.570000	
0.100000	0.685968	0.799111	76.134000	73.670000	
0.100000	0.675670	0.850902	76.640000	71.750000	
0.100000	0.672290	0.922626	76.612000	70.640000	
0.100000	0.662596	0.814937	77.138000	72.630000	
0.100000	0.654175	0.751888	77.016000	74.710000	
0.100000	0.644539	0.835344	77.786000	71.850000	
0.100000	0.641258	0.782389	77.892000	73.380000	
0.100000	0.634609	0.830817	78.040000	71.700000	
0.100000	0.633139	0.777387	77.968000	72.980000	
0.100000	0.633904	0.762896	78.142000	74.530000	
0.100000	0.632097	0.951770	78.076000	69.320000	
0.100000	0.623313	0.761260	78.308000	74.300000	
0.100000	0.619393	0.710962	78.664000	76.260000	
0.100000	0.614606	0.782452	78.608000	74.350000	
0.100000	0.619838	0.748733	78.594000	74.690000	
0.100000	0.614080	0.852125	78.758000	71.590000	
0.100000	0.609009	0.735615	78.952000	75.470000	
0.100000	0.608426	0.691342	79.176000	76.920000	
0.100000	0.611326	0.731344	78.928000	75.400000	
0.100000	0.605909	0.861671	78.772000	73.150000	
0.100000	0.600807	0.735694	79.312000	74.910000	
0.100000	0.603359	0.692479	79.056000	76.810000	
0.100000	0.602065	0.624375	79.222000	78.970000	
0.100000	0.597260	0.700719	79.566000	77.080000	
0.100000	0.598838	0.715913	79.164000	76.080000	
0.100000	0.596020	0.734209	79.268000	75.790000	
0.100000	0.591480	0.710575	79.672000	75.830000	
0.100000	0.587832	0.804540	79.580000	74.280000	
0.100000	0.591259	0.765648	79.592000	74.830000	
0.100000	0.594484	0.841026	79.480000	71.970000	
0.100000	0.581335	0.742819	79.974000	74.630000	
0.100000	0.589241	0.683763	79.516000	77.240000	
0.100000	0.592061	1.376887	79.476000	61.270000	
0.100000	0.584893	0.799182	79.864000	72.650000	
0.100000	0.579180	0.843356	80.016000	72.330000	
0.100000	0.583331	0.644960	79.890000	78.350000	
0.100000	0.580927	0.595464	79.964000	79.920000	
0.100000	0.581320	0.742550	79.958000	75.020000	
0.100000	0.579085	0.754135	79.976000	74.470000	
0.100000	0.575224	0.703214	80.166000	77.170000	
0.100000	0.577924	0.738161	80.014000	76.110000	
0.100000	0.577023	0.756707	79.944000	73.970000	
0.100000	0.578731	0.769400	79.956000	75.490000	
0.100000	0.576254	0.749692	80.058000	75.970000	
0.100000	0.574905	0.684749	80.032000	77.400000	
0.100000	0.579700	0.769966	79.976000	74.360000	
0.100000	0.573686	0.794538	80.024000	73.730000	
0.100000	0.576449	0.669935	80.168000	76.640000	
0.100000	0.572986	0.811396	80.214000	73.330000	
0.100000	0.570048	0.714487	80.194000	76.460000	
0.100000	0.570754	0.729560	80.232000	75.630000	
0.100000	0.576762	0.727371	79.710000	75.880000	
0.100000	0.570190	0.924947	80.442000	70.790000	
0.100000	0.573787	0.703786	80.178000	76.280000	
0.100000	0.571515	0.886140	80.448000	71.710000	
0.100000	0.573112	0.719517	80.172000	75.870000	
0.100000	0.573126	0.727514	80.172000	75.960000	
0.100000	0.567378	0.759309	80.474000	74.180000	
0.100000	0.567903	0.791083	80.316000	73.410000	
0.100000	0.565816	0.641279	80.486000	78.610000	
0.100000	0.567151	0.659907	80.436000	77.540000	
0.100000	0.565617	0.650352	80.382000	78.370000	
0.100000	0.567495	0.983712	80.558000	70.290000	
0.100000	0.566693	0.604843	80.426000	79.350000	
0.100000	0.563443	0.950573	80.630000	70.410000	
0.100000	0.568753	0.832072	80.452000	73.490000	
0.100000	0.562186	0.638268	80.578000	78.800000	
0.100000	0.565880	0.699944	80.502000	76.460000	
0.100000	0.561166	0.780695	80.768000	73.890000	
0.100000	0.563838	0.719140	80.522000	75.570000	
0.100000	0.566996	0.710761	80.370000	76.120000	
0.010000	0.440530	0.453693	84.942000	84.420000	
0.010000	0.408691	0.454180	86.064000	84.540000	
0.010000	0.396289	0.443806	86.384000	84.910000	
0.010000	0.390630	0.444461	86.704000	85.020000	
0.010000	0.383521	0.445178	86.770000	84.870000	
0.010000	0.378722	0.435131	87.016000	85.170000	
0.010000	0.377408	0.451636	86.958000	84.450000	
0.010000	0.370114	0.444805	87.244000	84.980000	
0.010000	0.368536	0.437612	87.388000	85.190000	
0.010000	0.367592	0.435203	87.262000	85.370000	
0.010000	0.369244	0.432424	87.280000	85.420000	
0.010000	0.362469	0.437309	87.400000	84.880000	
0.010000	0.359988	0.432220	87.656000	85.630000	
0.010000	0.361175	0.435534	87.346000	85.350000	
0.010000	0.359752	0.430204	87.626000	85.430000	
0.010000	0.358057	0.431084	87.530000	85.250000	
0.010000	0.353102	0.438643	87.770000	84.820000	
0.010000	0.358599	0.444247	87.608000	84.850000	
0.010000	0.355575	0.431530	87.788000	85.300000	
0.010000	0.355561	0.470386	87.782000	84.310000	
0.010000	0.349752	0.446103	87.934000	84.730000	
0.010000	0.350828	0.433537	87.810000	85.440000	
0.010000	0.349146	0.429927	87.932000	85.760000	
0.010000	0.349109	0.433197	87.854000	85.150000	
0.010000	0.346715	0.436662	88.190000	85.010000	
0.010000	0.347011	0.452553	87.970000	84.560000	
0.010000	0.344752	0.441925	88.098000	84.810000	
