Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.593323	1.899983	39.882000	42.380000	
0.100000	1.122912	1.136040	59.512000	59.380000	
0.100000	0.956185	0.985972	65.650000	65.700000	
0.100000	0.857600	0.916751	69.640000	69.420000	
0.100000	0.770926	0.783100	73.130000	73.760000	
0.100000	0.723871	0.821138	74.676000	72.480000	
0.100000	0.668236	0.752780	76.794000	75.000000	
0.100000	0.640871	0.629816	77.822000	78.740000	
0.100000	0.610120	0.666838	78.858000	77.430000	
0.100000	0.588834	0.646354	79.670000	78.120000	
0.100000	0.568435	0.609050	80.294000	78.780000	
0.100000	0.555203	0.577314	80.674000	80.370000	
0.100000	0.542144	0.715979	81.324000	76.700000	
0.100000	0.531067	0.588266	81.658000	80.150000	
0.100000	0.520856	0.613749	82.050000	78.710000	
0.100000	0.506924	0.564199	82.628000	81.080000	
0.100000	0.498640	0.621129	82.798000	79.460000	
0.100000	0.495135	0.642039	82.868000	78.560000	
0.100000	0.487638	0.579241	83.010000	80.870000	
0.100000	0.480077	0.529871	83.522000	82.010000	
0.100000	0.475717	0.558197	83.708000	81.310000	
0.100000	0.468249	0.569694	83.794000	81.450000	
0.100000	0.465854	0.566278	84.010000	80.730000	
0.100000	0.465110	0.520513	83.954000	82.180000	
0.100000	0.462087	0.628746	84.040000	79.750000	
0.100000	0.452654	0.534927	84.444000	81.990000	
0.100000	0.449805	0.529689	84.484000	81.640000	
0.100000	0.444955	0.558060	84.588000	81.370000	
0.100000	0.445625	0.529212	84.604000	82.920000	
0.100000	0.439136	0.541683	85.018000	81.920000	
0.100000	0.439825	0.576775	84.794000	81.100000	
0.100000	0.436080	0.524907	84.886000	82.540000	
0.100000	0.433876	0.479293	85.066000	83.600000	
0.100000	0.429034	0.499049	85.294000	83.520000	
0.100000	0.430422	0.545348	85.274000	82.010000	
0.100000	0.423903	0.551827	85.390000	81.400000	
0.100000	0.424154	0.619622	85.456000	80.050000	
0.100000	0.418532	0.540172	85.688000	82.140000	
0.100000	0.419466	0.513092	85.662000	82.630000	
0.100000	0.415522	0.577420	85.696000	81.780000	
0.100000	0.413679	0.581154	85.690000	80.940000	
0.100000	0.415968	0.472112	85.680000	84.350000	
0.100000	0.410129	0.554917	85.784000	81.680000	
0.100000	0.411933	0.502218	85.772000	82.990000	
0.100000	0.405587	0.559412	86.044000	81.430000	
0.100000	0.406966	0.478444	86.044000	83.810000	
0.100000	0.405166	0.594995	85.968000	80.780000	
0.100000	0.403322	0.555166	86.150000	81.570000	
0.100000	0.406968	0.623546	85.918000	80.320000	
0.100000	0.404496	0.531887	86.124000	82.880000	
0.100000	0.404689	0.446011	86.186000	85.260000	
0.100000	0.396200	0.477546	86.364000	84.220000	
0.100000	0.396332	0.504090	86.306000	83.640000	
0.100000	0.400337	0.577625	85.956000	80.600000	
0.100000	0.397316	0.644525	86.390000	79.860000	
0.100000	0.394672	0.575258	86.386000	81.190000	
0.100000	0.399739	0.495820	86.178000	83.280000	
0.100000	0.399096	0.642776	86.284000	78.780000	
0.100000	0.395745	0.528860	86.350000	82.920000	
0.100000	0.391924	0.498245	86.432000	83.220000	
0.100000	0.393347	0.616002	86.444000	79.720000	
0.100000	0.388957	0.463169	86.564000	84.290000	
0.100000	0.391060	0.531941	86.532000	82.750000	
0.100000	0.395110	0.576291	86.534000	81.920000	
0.100000	0.393709	0.457996	86.356000	84.970000	
0.100000	0.386276	0.456623	86.670000	85.060000	
0.100000	0.387916	0.584040	86.760000	80.400000	
0.100000	0.388110	0.540010	86.572000	82.450000	
0.100000	0.387278	0.439160	86.654000	84.900000	
0.100000	0.388722	0.476251	86.510000	83.870000	
0.100000	0.383511	0.471853	86.896000	84.200000	
0.100000	0.382992	0.546770	86.702000	82.440000	
0.100000	0.388827	0.587858	86.670000	81.060000	
0.100000	0.387986	0.509042	86.562000	83.480000	
0.100000	0.378694	0.481615	86.866000	83.750000	
0.100000	0.382280	0.503813	86.754000	83.630000	
0.100000	0.384745	0.535221	86.628000	82.050000	
0.100000	0.385353	0.444435	86.716000	85.330000	
0.100000	0.380738	0.568068	86.846000	82.220000	
0.100000	0.386099	0.512040	86.680000	83.270000	
0.010000	0.255376	0.314058	91.226000	89.520000	
0.010000	0.222119	0.308358	92.444000	89.810000	
0.010000	0.209318	0.305671	92.852000	90.170000	
0.010000	0.199952	0.302598	93.166000	90.240000	
0.010000	0.193042	0.303207	93.346000	90.070000	
0.010000	0.189001	0.302896	93.514000	90.230000	
0.010000	0.186606	0.303157	93.598000	90.200000	
0.010000	0.183400	0.299265	93.776000	90.300000	
0.010000	0.176520	0.308500	93.846000	90.220000	
0.010000	0.175668	0.308855	93.920000	90.000000	
0.010000	0.171979	0.307603	93.856000	90.220000	
0.010000	0.166898	0.309845	94.238000	90.330000	
0.010000	0.166989	0.306336	94.252000	90.390000	
0.010000	0.163955	0.302789	94.220000	90.380000	
0.010000	0.159601	0.310797	94.422000	90.170000	
0.010000	0.160611	0.311567	94.314000	90.120000	
0.010000	0.155885	0.322392	94.498000	89.840000	
0.010000	0.155294	0.313582	94.696000	90.440000	
0.010000	0.153145	0.305612	94.602000	90.320000	
0.010000	0.149568	0.320513	94.858000	90.210000	
0.010000	0.147650	0.312027	94.902000	90.300000	
0.010000	0.146910	0.325944	94.942000	90.120000	
0.010000	0.146422	0.314583	94.788000	90.070000	
0.010000	0.147388	0.331401	94.690000	90.000000	
0.010000	0.143973	0.317035	94.936000	90.110000	
0.010000	0.144386	0.321478	94.882000	90.030000	
0.010000	0.142080	0.329831	95.004000	89.900000	
0.010000	0.141710	0.317417	95.002000	89.770000	
0.010000	0.144353	0.329480	94.882000	89.960000	
0.010000	0.136492	0.342534	95.186000	89.670000	
0.010000	0.137960	0.328242	95.162000	89.970000	
0.010000	0.138668	0.312603	95.098000	90.190000	
0.010000	0.136358	0.337062	95.210000	89.650000	
0.010000	0.136295	0.334809	95.142000	89.710000	
0.010000	0.133080	0.332807	95.232000	89.710000	
0.010000	0.133317	0.336975	95.274000	89.900000	
0.010000	0.134053	0.341827	95.222000	89.920000	
0.010000	0.133116	0.335532	95.376000	89.810000	
0.010000	0.133516	0.340289	95.232000	90.120000	
0.010000	0.131561	0.339465	95.326000	89.870000	
0.001000	0.111334	0.315872	96.154000	90.470000	
0.001000	0.099052	0.312558	96.652000	90.730000	
0.001000	0.096452	0.312524	96.768000	90.590000	
0.001000	0.099900	0.311876	96.584000	90.650000	
0.001000	0.094005	0.313063	96.824000	90.580000	
0.001000	0.094613	0.314129	96.834000	90.450000	
0.001000	0.093218	0.311235	96.830000	90.710000	
0.001000	0.091703	0.312738	96.896000	90.760000	
0.001000	0.091124	0.313615	96.978000	90.680000	
0.001000	0.090739	0.316668	96.946000	90.650000	
0.001000	0.090001	0.312644	97.008000	90.690000	
0.001000	0.087723	0.316596	97.104000	90.700000	
0.001000	0.085754	0.317621	97.164000	90.630000	
0.001000	0.085891	0.316874	97.146000	90.630000	
0.001000	0.085814	0.317208	97.138000	90.580000	
0.001000	0.086783	0.315979	97.088000	90.580000	
0.001000	0.085833	0.317305	97.172000	90.670000	
0.001000	0.083343	0.314741	97.252000	90.540000	
0.001000	0.082693	0.314555	97.242000	90.610000	
0.001000	0.085239	0.318863	97.226000	90.590000	
0.001000	0.084077	0.318198	97.172000	90.630000	
0.001000	0.083630	0.319322	97.244000	90.620000	
0.001000	0.081727	0.321001	97.178000	90.590000	
0.001000	0.083736	0.319395	97.146000	90.680000	
0.001000	0.080772	0.321939	97.278000	90.660000	
0.001000	0.081345	0.317703	97.300000	90.730000	
0.001000	0.079180	0.316770	97.382000	90.750000	
0.001000	0.081678	0.328041	97.288000	90.670000	
0.001000	0.080444	0.324048	97.366000	90.650000	
0.001000	0.080935	0.324969	97.354000	90.740000	
0.001000	0.080227	0.324884	97.276000	90.550000	
0.001000	0.079670	0.326068	97.290000	90.660000	
0.001000	0.076539	0.326808	97.508000	90.620000	
0.001000	0.079197	0.325212	97.252000	90.650000	
0.001000	0.078458	0.328706	97.318000	90.670000	
0.001000	0.078148	0.328834	97.418000	90.700000	
0.001000	0.078354	0.324005	97.310000	90.580000	
0.001000	0.078392	0.326489	97.372000	90.660000	
0.001000	0.076661	0.324467	97.412000	90.700000	
0.001000	0.077006	0.326884	97.420000	90.490000	
