Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.875019	1.706400	30.692000	37.360000	
0.100000	1.615986	1.631339	39.486000	40.170000	
0.100000	1.486005	1.481981	44.760000	43.780000	
0.100000	1.381922	1.467653	49.034000	47.630000	
0.100000	1.304005	1.369482	52.096000	50.440000	
0.100000	1.235231	1.257079	55.148000	53.990000	
0.100000	1.182689	1.221079	56.800000	55.890000	
0.100000	1.133694	1.308791	59.126000	55.370000	
0.100000	1.085331	1.034991	60.892000	63.050000	
0.100000	1.044026	1.101643	62.586000	60.410000	
0.100000	1.013957	1.062168	63.842000	62.180000	
0.100000	0.990786	1.061420	64.796000	63.100000	
0.100000	0.956441	1.012376	65.976000	64.910000	
0.100000	0.918350	1.079181	67.326000	62.240000	
0.100000	0.897639	1.433061	68.080000	54.480000	
0.100000	0.867143	0.943100	69.302000	67.580000	
0.100000	0.845035	1.153010	70.272000	62.790000	
0.100000	0.817938	1.296705	71.252000	60.580000	
0.100000	0.793513	0.904887	72.166000	68.570000	
0.100000	0.777200	1.088593	72.744000	65.970000	
0.100000	0.757572	1.007878	73.476000	66.530000	
0.100000	0.743377	0.886353	74.092000	69.700000	
0.100000	0.731546	0.786345	74.526000	72.620000	
0.100000	0.713984	0.763110	75.378000	73.720000	
0.100000	0.701406	1.242823	75.832000	64.740000	
0.100000	0.695259	0.943243	75.776000	70.110000	
0.100000	0.682999	1.327831	76.454000	62.810000	
0.100000	0.667398	0.730550	77.112000	75.580000	
0.100000	0.667915	0.838892	76.890000	72.970000	
0.100000	0.658165	0.960900	77.166000	69.310000	
0.100000	0.651264	0.707594	77.458000	75.980000	
0.100000	0.642158	0.691159	77.862000	75.700000	
0.100000	0.634977	1.087109	77.952000	66.910000	
0.100000	0.633517	0.834181	78.164000	73.890000	
0.100000	0.626585	0.783053	78.568000	73.940000	
0.100000	0.620614	0.666411	78.688000	76.690000	
0.100000	0.620158	0.932590	78.646000	69.810000	
0.100000	0.611247	0.896338	78.810000	70.240000	
0.100000	0.606576	0.653197	79.282000	77.370000	
0.100000	0.606733	0.722855	79.028000	75.600000	
0.100000	0.608042	0.818828	79.170000	74.660000	
0.100000	0.605746	0.957095	79.192000	70.870000	
0.100000	0.594241	0.692558	79.702000	76.560000	
0.100000	0.598004	0.683768	79.368000	76.230000	
0.100000	0.594582	0.772258	79.752000	75.810000	
0.100000	0.591484	0.667036	79.650000	77.490000	
0.100000	0.584950	0.855080	79.806000	72.780000	
0.100000	0.587338	0.870356	79.792000	72.570000	
0.100000	0.578010	0.644179	80.156000	78.690000	
0.100000	0.584895	0.617753	79.926000	79.610000	
0.100000	0.581933	0.649653	79.944000	78.100000	
0.100000	0.580850	0.983533	80.056000	69.290000	
0.100000	0.576925	0.645359	80.284000	78.620000	
0.100000	0.575832	0.727288	80.234000	75.140000	
0.100000	0.569652	0.866170	80.326000	72.910000	
0.100000	0.570050	0.720010	80.442000	76.260000	
0.100000	0.565192	0.712088	80.462000	76.120000	
0.100000	0.573010	0.723534	80.146000	76.370000	
0.100000	0.564241	0.700623	80.586000	76.760000	
0.100000	0.564884	0.777810	80.508000	75.360000	
0.100000	0.563699	0.704243	80.352000	76.740000	
0.100000	0.561154	0.636922	80.576000	78.680000	
0.100000	0.570129	0.650479	80.354000	78.070000	
0.100000	0.562311	0.731411	80.646000	75.230000	
0.100000	0.564118	0.623430	80.510000	78.970000	
0.100000	0.556235	0.716183	80.904000	76.780000	
0.100000	0.556162	0.664794	80.830000	77.700000	
0.100000	0.556982	0.889008	80.804000	71.230000	
0.100000	0.554428	0.901703	80.756000	72.050000	
0.100000	0.560880	0.868413	80.698000	71.470000	
0.100000	0.554224	0.762533	80.888000	74.540000	
0.100000	0.549438	0.670975	81.292000	77.770000	
0.100000	0.558502	0.669961	80.926000	77.500000	
0.100000	0.547889	0.676692	81.144000	77.870000	
0.100000	0.550397	0.696798	81.172000	76.400000	
0.100000	0.547450	0.975584	81.066000	71.140000	
0.100000	0.551418	0.694125	81.026000	77.100000	
0.100000	0.550113	0.653587	81.086000	78.340000	
0.100000	0.545456	0.629798	81.180000	78.720000	
0.100000	0.547928	0.802574	81.076000	73.430000	
0.010000	0.429159	0.439325	85.340000	84.900000	
0.010000	0.401382	0.437277	86.294000	85.540000	
0.010000	0.387057	0.429143	86.676000	85.440000	
0.010000	0.386176	0.433450	86.806000	85.470000	
0.010000	0.376297	0.428600	87.176000	85.850000	
0.010000	0.374447	0.427959	87.110000	85.700000	
0.010000	0.372644	0.432507	87.062000	85.130000	
0.010000	0.366153	0.439197	87.456000	85.370000	
0.010000	0.366709	0.429839	87.276000	85.530000	
0.010000	0.362526	0.426414	87.518000	85.710000	
0.010000	0.364173	0.429115	87.654000	85.750000	
0.010000	0.364170	0.426635	87.534000	85.750000	
0.010000	0.355397	0.417295	87.704000	86.070000	
0.010000	0.358234	0.425592	87.702000	85.660000	
0.010000	0.356004	0.422687	87.736000	86.010000	
0.010000	0.353511	0.430805	88.010000	85.700000	
0.010000	0.354146	0.419232	87.886000	85.990000	
0.010000	0.353444	0.420705	87.712000	85.910000	
0.010000	0.350831	0.425006	87.922000	85.720000	
0.010000	0.348868	0.421649	87.988000	85.750000	
0.010000	0.353551	0.430690	87.748000	85.650000	
0.010000	0.348866	0.429332	87.892000	85.700000	
0.010000	0.348441	0.425366	87.892000	85.660000	
0.010000	0.348425	0.434995	87.888000	85.520000	
0.010000	0.345370	0.427394	88.074000	85.530000	
0.010000	0.344557	0.433651	88.144000	85.430000	
0.010000	0.341124	0.429049	88.310000	85.670000	
0.010000	0.346696	0.429959	88.082000	85.730000	
0.010000	0.344776	0.427463	88.122000	85.650000	
0.010000	0.342398	0.443505	88.116000	85.130000	
0.010000	0.342627	0.423599	88.242000	86.100000	
0.010000	0.347428	0.425351	88.060000	85.800000	
0.010000	0.345292	0.407720	88.174000	86.330000	
0.010000	0.344525	0.425051	88.200000	85.870000	
0.010000	0.339334	0.422941	88.236000	85.940000	
0.010000	0.345551	0.440110	88.018000	85.600000	
0.010000	0.344440	0.433419	88.076000	85.770000	
0.010000	0.345396	0.423901	88.180000	85.970000	
0.010000	0.341598	0.423465	88.290000	85.980000	
0.010000	0.342815	0.446598	88.278000	85.180000	
0.001000	0.318136	0.398371	89.072000	86.840000	
0.001000	0.305817	0.393749	89.550000	86.640000	
0.001000	0.304851	0.394226	89.618000	87.040000	
0.001000	0.302234	0.399691	89.712000	86.810000	
0.001000	0.302513	0.389423	89.566000	86.920000	
0.001000	0.301943	0.391648	89.568000	86.920000	
0.001000	0.300130	0.391730	89.640000	86.870000	
0.001000	0.295768	0.391295	89.832000	86.850000	
0.001000	0.301093	0.391447	89.658000	86.940000	
0.001000	0.299423	0.391341	89.632000	86.880000	
0.001000	0.297308	0.392175	89.736000	86.980000	
0.001000	0.296820	0.392798	89.782000	86.740000	
0.001000	0.295711	0.391805	89.900000	86.860000	
0.001000	0.297255	0.390184	89.818000	86.690000	
0.001000	0.297848	0.393242	89.876000	86.750000	
0.001000	0.298971	0.391866	89.808000	86.830000	
0.001000	0.296786	0.393670	89.868000	87.080000	
0.001000	0.297253	0.396375	89.562000	86.880000	
0.001000	0.296728	0.392352	89.768000	87.140000	
0.001000	0.293451	0.389642	89.826000	86.950000	
0.001000	0.297368	0.387843	89.912000	87.110000	
0.001000	0.294671	0.394152	89.798000	86.810000	
0.001000	0.295555	0.390779	89.916000	86.830000	
0.001000	0.297835	0.389791	89.816000	86.940000	
0.001000	0.295690	0.392797	89.818000	87.180000	
0.001000	0.293172	0.390711	89.870000	86.830000	
0.001000	0.292604	0.393587	89.884000	86.930000	
0.001000	0.294430	0.387887	90.024000	87.090000	
0.001000	0.293903	0.389094	89.884000	87.130000	
0.001000	0.292152	0.389916	89.888000	87.190000	
0.001000	0.292956	0.389809	89.894000	87.120000	
0.001000	0.293525	0.392070	89.934000	87.010000	
0.001000	0.292621	0.390231	89.930000	87.010000	
0.001000	0.293891	0.391138	89.832000	86.840000	
0.001000	0.290203	0.392407	90.004000	86.870000	
0.001000	0.296173	0.389372	89.928000	86.810000	
0.001000	0.290334	0.392434	89.912000	87.050000	
0.001000	0.292787	0.392941	89.882000	86.800000	
0.001000	0.291913	0.392011	89.916000	87.350000	
0.001000	0.290780	0.389797	90.024000	86.940000	
