Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.804308	1.578157	33.404000	41.360000	
0.100000	1.563952	1.526092	42.172000	46.160000	
0.100000	1.448799	1.431576	46.596000	48.120000	
0.100000	1.346993	1.297384	51.090000	53.310000	
0.100000	1.272964	1.243626	53.920000	55.270000	
0.100000	1.205693	1.161245	56.560000	57.890000	
0.100000	1.151961	1.297119	58.608000	55.320000	
0.100000	1.110698	1.259748	60.216000	56.830000	
0.100000	1.069829	1.035532	61.466000	63.270000	
0.100000	1.030710	1.113681	63.282000	60.330000	
0.100000	1.005110	1.188114	64.334000	60.590000	
0.100000	0.973612	0.958486	65.520000	66.230000	
0.100000	0.946247	1.019291	66.816000	66.030000	
0.100000	0.921766	1.131425	67.270000	62.620000	
0.100000	0.894312	0.928560	68.652000	67.910000	
0.100000	0.872268	0.979999	69.226000	67.230000	
0.100000	0.853970	0.963561	70.210000	67.200000	
0.100000	0.838228	0.997896	70.718000	66.880000	
0.100000	0.814733	0.857288	71.440000	70.490000	
0.100000	0.800025	0.909949	72.022000	69.550000	
0.100000	0.790518	0.806667	72.338000	72.330000	
0.100000	0.778803	0.971530	73.016000	67.820000	
0.100000	0.772869	0.941797	73.188000	68.240000	
0.100000	0.765370	0.757806	73.362000	73.840000	
0.100000	0.756406	0.993427	73.554000	67.380000	
0.100000	0.749506	0.842505	74.002000	71.980000	
0.100000	0.738273	0.957950	74.328000	69.300000	
0.100000	0.733222	0.915423	74.646000	70.810000	
0.100000	0.728507	0.772537	74.748000	73.560000	
0.100000	0.731282	0.763937	74.540000	74.460000	
0.100000	0.724477	0.757634	74.784000	74.560000	
0.100000	0.716998	1.069340	75.032000	67.280000	
0.100000	0.711867	0.783439	75.108000	74.140000	
0.100000	0.711437	0.851577	75.252000	71.980000	
0.100000	0.703775	0.837093	75.686000	72.660000	
0.100000	0.707562	0.874906	75.496000	71.710000	
0.100000	0.699394	1.031802	75.644000	67.950000	
0.100000	0.701203	0.758492	75.722000	74.080000	
0.100000	0.695875	0.798334	75.908000	73.350000	
0.100000	0.692047	0.841036	75.984000	72.490000	
0.100000	0.692054	0.936493	76.064000	70.470000	
0.100000	0.693280	0.913340	75.976000	70.690000	
0.100000	0.689397	0.776675	76.346000	74.250000	
0.100000	0.689152	0.757858	76.104000	74.150000	
0.100000	0.681802	0.778747	76.406000	73.670000	
0.100000	0.679082	0.842010	76.346000	71.990000	
0.100000	0.681042	1.067782	76.208000	68.080000	
0.100000	0.675860	0.999295	76.628000	69.040000	
0.100000	0.677836	0.778140	76.616000	74.140000	
0.100000	0.676534	0.986409	76.590000	67.730000	
0.100000	0.674038	0.713304	76.704000	75.830000	
0.100000	0.673624	0.832868	76.556000	72.960000	
0.100000	0.671648	0.788564	76.676000	73.730000	
0.100000	0.665248	0.707490	76.934000	76.230000	
0.100000	0.665412	0.868319	76.794000	71.680000	
0.100000	0.664366	0.756556	76.830000	74.160000	
0.100000	0.665867	0.759172	76.850000	74.860000	
0.100000	0.669362	0.769902	76.946000	73.880000	
0.100000	0.667187	1.016162	76.800000	68.340000	
0.100000	0.659217	1.160646	77.296000	64.540000	
0.100000	0.660193	0.720587	76.998000	75.540000	
0.100000	0.664487	0.833118	77.012000	73.350000	
0.100000	0.660238	0.719843	77.092000	75.570000	
0.100000	0.659552	0.769682	77.176000	75.100000	
0.100000	0.661500	0.754877	76.990000	74.180000	
0.100000	0.660211	0.911768	77.042000	70.770000	
