Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.588044	1.452874	40.376000	48.730000	
0.100000	1.105935	0.977520	60.170000	65.400000	
0.100000	0.935756	1.038297	66.690000	66.010000	
0.100000	0.825678	0.959280	70.882000	68.760000	
0.100000	0.743170	0.797485	74.178000	72.980000	
0.100000	0.696970	0.894446	75.970000	70.630000	
0.100000	0.653298	0.686006	77.232000	76.140000	
0.100000	0.620766	0.671356	78.494000	76.780000	
0.100000	0.594900	0.651669	79.492000	78.270000	
0.100000	0.576214	0.722147	80.258000	76.650000	
0.100000	0.559537	0.628514	80.612000	78.070000	
0.100000	0.551590	0.660415	80.898000	78.240000	
0.100000	0.532157	0.622822	81.608000	78.550000	
0.100000	0.519165	0.639903	81.976000	79.250000	
0.100000	0.515122	0.604832	82.150000	79.470000	
0.100000	0.502928	0.639537	82.648000	78.810000	
0.100000	0.494891	0.798802	82.842000	74.490000	
0.100000	0.496065	0.590398	82.976000	79.790000	
0.100000	0.486101	0.590540	83.278000	80.840000	
0.100000	0.479216	0.574270	83.462000	80.860000	
0.100000	0.478009	0.590671	83.556000	80.870000	
0.100000	0.466958	0.559774	83.696000	80.760000	
0.100000	0.465257	0.602116	83.978000	79.300000	
0.100000	0.460175	0.558374	84.192000	82.000000	
0.100000	0.461042	0.543918	84.110000	81.790000	
0.100000	0.458160	0.529666	84.142000	81.570000	
0.100000	0.446611	0.486114	84.522000	83.190000	
0.100000	0.445226	0.549344	84.458000	82.090000	
0.100000	0.441414	0.603747	84.734000	80.030000	
0.100000	0.440259	0.649105	84.828000	79.490000	
0.100000	0.436042	0.614973	84.954000	80.390000	
0.100000	0.435775	0.562425	85.072000	81.770000	
0.100000	0.429087	0.532605	85.238000	82.130000	
0.100000	0.433543	0.690803	84.992000	77.560000	
0.100000	0.424851	0.545428	85.186000	82.040000	
0.100000	0.424428	0.574702	85.308000	81.860000	
0.100000	0.423749	0.765754	85.384000	77.300000	
0.100000	0.420187	0.551791	85.400000	82.200000	
0.100000	0.419385	0.563814	85.464000	82.140000	
0.100000	0.418346	0.490663	85.428000	83.820000	
0.100000	0.421355	0.520820	85.442000	82.830000	
0.100000	0.414413	0.560212	85.636000	81.200000	
0.100000	0.419224	0.612165	85.572000	80.340000	
0.100000	0.412292	0.481486	85.764000	83.940000	
0.100000	0.408016	0.463960	86.044000	84.850000	
0.100000	0.405348	0.511769	85.944000	82.620000	
0.100000	0.405714	0.552448	86.032000	81.350000	
0.100000	0.408523	0.644822	85.926000	80.040000	
0.100000	0.408721	0.469316	85.756000	84.310000	
0.100000	0.402036	0.540775	86.146000	82.220000	
0.100000	0.400996	0.496024	86.180000	82.950000	
0.100000	0.397357	0.636640	86.314000	80.450000	
0.100000	0.401474	0.459459	86.206000	84.930000	
0.100000	0.395375	0.524819	86.290000	82.460000	
0.100000	0.396388	0.524153	86.378000	82.830000	
0.100000	0.396250	0.584233	86.236000	80.340000	
0.100000	0.395540	0.577835	86.316000	81.320000	
0.100000	0.398743	0.480125	86.040000	84.500000	
0.100000	0.393342	0.513181	86.416000	83.050000	
0.100000	0.394415	0.481829	86.210000	83.630000	
0.100000	0.394569	0.454780	86.318000	84.950000	
0.100000	0.393321	0.482021	86.316000	83.820000	
0.100000	0.392030	0.508997	86.464000	83.290000	
0.100000	0.390906	0.487643	86.628000	83.990000	
0.100000	0.386826	0.454922	86.716000	84.830000	
0.100000	0.391920	0.454275	86.490000	84.860000	
0.100000	0.385190	0.464200	86.602000	84.320000	
0.100000	0.382445	0.477918	86.846000	83.920000	
0.100000	0.387329	0.549777	86.626000	82.910000	
0.100000	0.386635	0.696001	86.756000	78.990000	
0.100000	0.384524	0.466453	86.634000	84.770000	
0.100000	0.386434	0.583452	86.710000	81.040000	
0.100000	0.381952	0.489795	86.828000	83.890000	
0.100000	0.382534	0.445275	86.736000	85.140000	
0.100000	0.385800	0.468833	86.782000	84.550000	
0.100000	0.384750	0.528181	86.648000	82.210000	
0.100000	0.380664	0.455278	86.794000	84.850000	
0.100000	0.385776	0.444164	86.632000	85.000000	
0.100000	0.378787	0.467454	86.938000	84.830000	
0.100000	0.384481	0.437971	86.672000	85.140000	
0.010000	0.260425	0.305201	91.152000	89.660000	
0.010000	0.222275	0.299161	92.334000	90.030000	
0.010000	0.214106	0.301512	92.648000	89.960000	
0.010000	0.204785	0.295202	92.856000	90.180000	
0.010000	0.195719	0.299347	93.394000	90.130000	
0.010000	0.187663	0.293380	93.528000	90.240000	
0.010000	0.187073	0.304078	93.634000	89.980000	
0.010000	0.183353	0.286486	93.778000	90.560000	
0.010000	0.176632	0.301571	93.834000	90.330000	
0.010000	0.175080	0.301255	93.966000	90.410000	
0.010000	0.172563	0.294144	94.012000	90.670000	
0.010000	0.168044	0.302328	94.120000	90.420000	
0.010000	0.169504	0.299704	94.154000	90.480000	
0.010000	0.163785	0.302332	94.428000	90.750000	
0.010000	0.164895	0.296413	94.370000	90.510000	
0.010000	0.162326	0.307112	94.400000	90.340000	
0.010000	0.158511	0.298174	94.504000	90.480000	
0.010000	0.155938	0.300262	94.568000	90.480000	
0.010000	0.155976	0.301007	94.600000	90.550000	
0.010000	0.154657	0.307651	94.634000	90.550000	
0.010000	0.151983	0.310711	94.744000	90.500000	
0.010000	0.151208	0.323082	94.826000	90.080000	
0.010000	0.147214	0.308013	94.962000	90.490000	
0.010000	0.144246	0.309615	95.042000	90.280000	
0.010000	0.143105	0.311508	94.970000	90.210000	
0.010000	0.143698	0.315769	94.978000	90.370000	
0.010000	0.142431	0.321577	94.946000	90.280000	
0.010000	0.142673	0.320247	94.976000	90.320000	
0.010000	0.141558	0.329357	95.018000	90.400000	
0.010000	0.143193	0.312269	94.990000	90.420000	
0.010000	0.143155	0.319724	95.076000	90.150000	
0.010000	0.136839	0.333122	95.134000	90.130000	
0.010000	0.137188	0.340398	95.176000	90.090000	
0.010000	0.137813	0.324676	95.106000	90.230000	
0.010000	0.136683	0.335272	95.224000	90.080000	
0.010000	0.135693	0.326439	95.260000	90.330000	
0.010000	0.138610	0.321781	95.014000	90.620000	
0.010000	0.131251	0.324739	95.406000	90.290000	
0.010000	0.135239	0.313363	95.286000	90.410000	
0.010000	0.132355	0.337105	95.386000	90.070000	
0.001000	0.112511	0.308254	96.084000	90.810000	
0.001000	0.105925	0.304093	96.386000	90.940000	
0.001000	0.099021	0.303310	96.770000	90.950000	
0.001000	0.098325	0.303906	96.744000	90.990000	
0.001000	0.095457	0.300538	96.850000	91.080000	
0.001000	0.097960	0.302127	96.700000	91.130000	
0.001000	0.094550	0.302249	96.804000	91.040000	
0.001000	0.092559	0.304097	96.922000	91.090000	
0.001000	0.093441	0.304473	96.860000	91.160000	
0.001000	0.091428	0.304320	96.888000	90.850000	
0.001000	0.089738	0.306053	97.002000	91.020000	
0.001000	0.091902	0.305494	96.916000	91.100000	
0.001000	0.089765	0.305431	96.996000	91.060000	
0.001000	0.090409	0.307894	96.856000	91.050000	
0.001000	0.088166	0.309415	96.996000	91.120000	
0.001000	0.089116	0.306482	96.972000	91.050000	
0.001000	0.089589	0.307929	97.016000	91.090000	
0.001000	0.086824	0.307172	97.150000	90.910000	
0.001000	0.087173	0.309336	97.068000	91.000000	
0.001000	0.084511	0.313939	97.224000	90.890000	
0.001000	0.086173	0.312287	97.012000	90.970000	
0.001000	0.086498	0.310707	97.124000	91.200000	
0.001000	0.084603	0.315429	97.160000	91.000000	
0.001000	0.083336	0.309047	97.210000	91.220000	
0.001000	0.084246	0.308755	97.138000	91.010000	
0.001000	0.083098	0.310520	97.248000	90.950000	
0.001000	0.084707	0.312456	97.060000	91.070000	
0.001000	0.084372	0.312565	97.132000	91.050000	
0.001000	0.083679	0.316107	97.154000	91.180000	
0.001000	0.083174	0.317475	97.216000	91.070000	
0.001000	0.083187	0.316220	97.162000	90.970000	
0.001000	0.083599	0.315464	97.212000	91.080000	
0.001000	0.081673	0.316808	97.222000	91.100000	
0.001000	0.081780	0.312452	97.262000	91.090000	
0.001000	0.079417	0.318584	97.362000	90.890000	
0.001000	0.080923	0.318960	97.258000	91.200000	
0.001000	0.080362	0.324521	97.220000	91.000000	
0.001000	0.081086	0.319423	97.274000	91.090000	
0.001000	0.081426	0.316601	97.208000	91.100000	
0.001000	0.081567	0.318722	97.228000	91.020000	
